bathrooms,bedrooms,finishedsqft,price,totalrooms
2,3,1790,1350000,7
2.5,3,2017,2600000,6
2,2,1063,660000,5
1.5,1,1080,978000,5
1,1,795,1124500,3
2,2,1239,1500000,4
1,2,809,675000,4
2.5,3,1467,1525000,5
4,3,2371,2075000,6
1,3,1466,860000,7
1,3,1435,950000,6
1,3,1590,1050000,6
1,1,830,670000,3
1,2,833,760000,4
3,4,2400,1800000,6
1,0,410,525000,1
1,1,855,778000,4
1,0,706,738000,2
2,3,1986,2720000,7
1,2,1200,1100000,5
4,4,1900,1538000,8
3,3,1858,1400000,8
2,2,1009,1000000,4
2,3,1900,880000,8
2,2,1215,1198000,5
1,3,1350,821500,6
1,2,1330,1418000,5
1,1,593,675000,4
1,2,1350,1050000,5
2.5,3,1625,1900000,6
1,1,799,949000,4
2,2,900,1098000,4
2,3,2542,1665000,6
2,3,1860,3195000,5
1,2,1440,2000000,6
1,3,1001,756000,4
2,3,1960,1800000,6
2,3,2650,2100000,8
2.5,3,2545,2495000,8
2,3,1270,958000,6
2,3,1331,968000,5
3,4,2260,1350000,9
2,4,2102,310000,11
4.5,4,4017,4300000,11
3.5,4,2580,1880000,8
3,6,1950,655000,9
3,5,2956,1360000,8
1,1,600,899000,4
2,3,1600,1400000,5
2,4,1625,2250000,10
3,4,2000,2600000,7
2,2,1309,1340000,4
2.5,3,2041,1450000,7
2,4,1720,2400000,7
1,1,808,825000,3
3,2,1332,1350000,5
1.5,2,1408,1853000,5
2,3,1300,905000,6
2,4,1360,1010000,7
1,2,560,600000,4
2.5,3,2180,1230000,6
1,1,1118,1125000,4
1,2,939,955000,4
1,2,1000,1085000,5
2,3,1386,1360000,6
1,1,538,625000,3
1,1,582,650000,2
2,2,1106,895000,5
3,4,1853,950000,6
2,3,1135,895000,5
1.5,3,1675,2550000,6
3,4,2755,1695000,8
2,2,952,810000,5
1,2,747,890000,3
1,1,511,665000,2
2,2,1206,1278000,4
2,3,1273,1450000,4
2,2,1275,1025000,5
1,2,904,1266000,3
6,9,5000,1405000,7
3,4,1744,1880000,7
2,3,2000,2500000,7
1,2,1214,625000,5
3,3,1518,1438000,6
3,3,2730,1460000,8
3,3,1756,760000,7
2,3,1886,1250000,6
1,3,1450,1250000,6
2,3,1313,1303500,6
2.5,2,1876,3000000,6
3,3,2155,1750000,5
2,3,1310,900000,6
1,3,825,642000,4
2,2,1207,800000,4
3,4,2269,1255000,6
3,3,1635,1575000,10
1,2,887,725000,5
1,3,1532,1300000,6
3,2,1434,2800000,5
2.5,2,1740,2850000,5
4,2,1700,2162500,5
1,2,900,760000,6
1,2,1328,918000,5
1.5,2,1300,945000,5
2.5,4,2151,1809000,8
1,2,1374,1280000,6
1,2,1290,998500,6
2,2,1204,1100000,5
2,4,1475,1175000,7
1,2,1385,680000,6
2,2,1412,755000,5
2,2,2198,1475000,4
3,3,1670,2550000,6
2,1,998,875000,3
2,2,1177,1180000,5
2,2,1619,2175000,3
1,1,653,665000,3
3,5,3034,950000,9
14,7,1308,1000000,7
1,2,1400,1250000,5
2,4,1861,1500000,8
1.5,3,1278,1080000,6
1,2,1778,1415000,6
2,5,2515,2000000,7
2,2,878,1265000,5
2,3,1476,1281000,5
1,1,825,875000,3
1,1,713,1029000,3
1,1,695,731000,3
1,1,884,900000,3
2.5,2,2272,2735000,6
1,1,1115,1680000,5
2,2,1467,1700000,5
4,4,2770,2500000,8
2,3,1650,1060000,7
2,3,1655,1175000,7
3,3,1312,1900000,5
3,3,1639,925000,7
4,6,4883,2700000,11
1,3,1550,1080000,6
4,4,4017,3595000,10
1,1,1048,835000,2
2.5,4,1586,850000,6
1.5,2,1000,750000,3
2,3,1275,1530000,5
4,5,3202,1500000,11
3.5,5,3212,4000000,12
1,3,1755,1285000,6
1,1,667,535000,3
2,2,1400,925000,8
1,1,600,650000,3
2,2,1215,975000,4
2,2,995,1249000,4
1,2,1000,1317500,5
2,2,1098,1095000,4
2,2,1325,1650000,5
1,2,994,1220000,4
1,1,596,486000,4
1,2,1416,1052000,6
2,3,1200,1108000,5
1.5,2,1090,1593000,5
6,5,3485,5050000,7
1,2,1340,981500,5
2.5,3,2084,1525000,6
2,3,1540,1860000,6
3,4,1779,1865000,11
1,1,1060,1499000,4
1,1,894,600000,3
2.5,2,1361,1185000,5
2.5,2,1176,1080000,4
2,2,1048,700000,5
1,2,1070,999000,5
1,2,4275,1490000,16
3,4,2678,2290000,8
3.5,4,3455,4800000,7
3,3,1738,830000,6
3,3,2115,1880000,6
2,3,1768,1510000,8
1.5,2,1630,1475000,6
2.5,3,2209,1699000,6
2,3,1484,1265000,7
1,3,1300,1098000,7
3,4,2020,2150000,9
2,2,1208,1180000,5
1,1,986,1275500,4
2,2,1287,1548000,6
1,3,750,520000,5
6,6,4136,1300000,15
1,1,770,738000,4
2,3,1350,985000,4
1.5,2,1791,1250000,7
1,1,830,605000,3
1,3,984,720000,5
1,1,853,900000,4
1,2,875,1325000,4
1,2,1125,647500,5
1,2,837,839500,4
1,2,994,800000,5
3,4,2500,1830000,8
8,7,9190,13075000,16
2,2,1301,765000,4
1,3,1030,600000,6
2,1,856,875000,4
2,1,1267,1100000,4
1,1,1000,800000,4
2,3,1232,1050000,7
1.5,2,1713,1137500,6
2,2,1150,1150000,5
1.5,4,1368,935000,7
2,3,1786,1900000,6
1,1,890,710000,4
1,3,1435,950000,7
2,2,881,825000,4
1,1,750,895000,5
2,2,1075,895000,5
1,3,1644,1275000,5
1,1,1250,1405000,6
1,2,1740,1575000,5
1,0,1215,3800000,4
1,3,1500,795000,6
3,4,1574,815000,7
1,1,691,915000,3
2,3,1567,2100000,6
2,2,1084,1315000,5
2,3,2100,1994000,6
2,2,928,1095000,5
1,2,1405,1175000,6
2,4,3040,1200000,12
2,3,2066,860000,7
1,2,1464,1090000,6
1,2,1064,728000,5
2,2,1286,1275000,4
2,2,1961,3800000,4
3,3,1897,550000,6
1,2,918,950000,5
4,4,1717,1006000,8
2,3,1718,1566000,5
3.5,4,3548,2150000,7
1,2,1082,1050000,4
2,2,1034,1175000,5
1.5,3,2050,1835000,8
1,3,1775,1200000,6
2,3,2057,1500000,5
1,2,1147,1000000,6
1,1,606,840000,4
1,1,837,1050000,3
2,2,900,875000,4
2,2,1140,1425500,5
2.5,3,860,1800000,5
2,3,1257,890000,6
1,2,1119,1225000,5
3,2,2760,3800000,8
1.5,2,1250,1002000,5
2,2,1150,1099000,5
2,2,886,691000,4
1,2,1655,1038000,6
2,2,1072,825000,5
1,1,765,790000,3
1,1,822,759000,3
2.5,2,1030,1155000,4
1,1,645,790000,3
1,1,677,798000,3
1,1,772,795000,3
1,1,880,1225000,4
6,5,4650,9708000,11
3,3,650,1950000,4
2,2,1913,1800000,5
1.5,5,1837,4100000,8
1,1,708,795000,3
2,3,2378,1600000,6
3.5,5,3094,2350000,8
1,2,1585,1800000,5
1,2,1085,955000,5
5,8,3905,1810000,13
2,3,1480,1450000,5
4,4,2381,1995000,9
2,2,1850,1438000,5
2,3,1325,1525000,5
1,2,1000,900000,4
2,5,2083,920000,8
1,2,1275,905000,4
1,2,1214,1003000,5
2.5,4,1303,1180000,5
1,3,1300,990000,6
2.5,3,1941,1275000,6
2,2,1165,1295000,4
1,3,1310,1725000,6
2,2,1054,1275000,5
1,2,753,770000,4
2,2,1500,1760000,8
1,2,1000,750000,4
1,3,1290,850000,6
2,0,1770,981000,7
1,2,1078,1250000,6
4,4,2750,3900000,9
6,5,6800,17100000,13
1,2,1150,1025000,5
1,3,1675,1500000,6
1,1,744,599000,3
1,2,781,835000,4
2,2,928,1149000,4
2,2,1764,2300000,5
1,2,1075,975000,6
5.5,4,1960,2377500,6
1,2,1275,700000,5
3,3,2236,1500000,7
3,3,1880,1830000,6
1.75,3,1050,928000,9
1,1,888,960000,4
4,4,3500,2674000,13
3,3,2000,1610000,12
1,1,1070,1000000,4
2,3,1845,1335000,6
2,4,2327,1700000,9
1,2,728,1060000,4
2,3,1237,1204000,6
4.5,4,3692,2375000,7
1,1,800,800000,2
2,1,1102,900000,6
1.5,1,1255,905000,4
1,1,748,815000,4
1,1,1165,975000,4
2.5,3,1360,720000,5
1,3,1750,765000,6
2.5,4,1655,828000,7
2,3,1771,975000,6
2,4,2280,2400000,7
2,3,1490,1020000,5
3,4,2570,1030000,8
1,2,1216,1509000,5
1,2,1250,1575000,5
2.5,3,1800,1750000,7
1,2,1130,892000,5
1,3,1325,1220000,6
2,3,1647,2500000,6
2.5,4,1648,1300000,6
4,4,3495,2385000,9
1,2,950,1150000,4
3,4,2271,1555000,9
1,1,670,515000,3
2,2,1063,488000,5
1,2,1550,975000,5
2,2,848,1700000,4
1,1,650,690000,3
2,5,1675,1083500,8
2,3,2400,1625000,6
3,3,1942,1667500,8
3,4,2350,860000,8
2,2,1161,1950100,4
2,2,1662,1250000,5
1,2,925,570000,4
3,4,2256,1650000,8
2,4,2281,1290000,8
2.5,5,2666,2021500,8
2,3,1212,575000,6
2,3,1218,1230000,6
2.5,3,1890,1220000,6
2,3,1700,1300000,5
2,2,1465,2900000,5
2,2,1305,1150000,5
1,2,839,640000,4
2.5,3,1519,1475000,7
2,2,1990,2650000,7
1.5,2,2250,1310000,7
3,4,1275,780000,5
3,4,2754,1800000,7
2,3,1213,1192500,6
1.5,1,1047,875000,1
1,1,809,1425000,3
2,2,1115,1250000,4
2,2,1019,1300000,4
2,2,1488,1475000,4
1,2,1003,1210000,4
1,1,950,860000,5
2,3,1154,1775000,5
2.5,3,1810,2000000,9
2,3,2160,3650000,6
1,2,1508,1250000,6
3,2,1500,1575000,5
2,3,1482,868000,5
1,2,1056,850000,5
2,2,1263,1450000,6
1,2,1162,700000,5
1,1,552,720000,2
1,3,924,770000,7
2,2,966,1230000,5
1,1,897,853000,3
2.5,2,1328,1500000,6
1.5,3,1362,1535000,6
4,4,2134,1150000,7
3.5,3,2935,4100000,9
1,1,420,412000,2
1,2,1367,950000,5
1,2,1152,1665000,5
2,3,1430,375000,7
1.5,2,875,705000,4
2,3,1235,1680000,5
7.5,6,7375,5530000,16
3.5,2,2040,5600000,7
2,3,1405,1875000,7
1.5,2,967,659000,5
3,2,1990,1380000,6
3,3,3027,2105000,8
1,1,830,685000,3
1,2,956,908000,5
2,2,1001,2599000,5
1,1,789,845000,4
2,1,1075,950000,4
2,2,1083,1110000,4
1,1,950,1095000,4
2,2,1118,1190000,5
1,2,1160,1375000,5
1,2,1280,718000,5
2,2,1410,2250000,5
4.5,4,1140,5700000,5
1,2,828,1271500,5
2,2,1386,1461500,5
2,2,1463,1675000,5
4,4,2442,4150000,7
2,2,1629,665000,7
3,5,2730,1450000,9
1.5,2,1700,2050000,6
1,2,931,1125000,5
4,4,2110,2257000,8
3.5,6,4305,2350000,10
2,2,1412,1850000,5
2.5,3,2146,1300000,8
4.5,4,3500,1600000,11
1,2,962,950000,4
2,3,1868,1650000,7
1,2,1260,1175000,6
2.5,3,1655,1700000,6
2.5,2,1960,2750000,5
2.5,2,1399,1400000,4
4,4,1925,950000,12
1,3,1200,1200000,5
4,3,1267,2070000,7
1,2,781,495000,4
1,2,878,638500,5
1,1,634,710000,2
1,2,800,760000,4
2,3,1170,830000,5
1,3,1381,1551000,5
2,3,1354,1400000,6
1.5,1,1798,1475000,2
2,3,2250,522000,9
3,2,2253,800000,13
8.5,5,5894,9950000,11
1,3,2228,1055000,8
2,4,2230,1250000,8
4,6,3766,2750000,12
3.5,4,2500,4250000,8
2,3,1060,1010000,5
1,2,836,450000,4
2.5,2,1247,1351000,5
1,1,668,625000,3
3,6,4000,8125000,10
2,3,1592,1135000,8
2,3,1943,1950000,6
3.5,3,2082,2410000,7
1,3,1199,1200000,5
3.5,4,2150,5410000,8
1,2,950,910000,5
3,3,2251,2682000,7
1,2,887,720000,4
1,3,1339,750000,6
2,2,1238,1675000,4
1,1,700,749000,3
1,2,958,870000,4
1,2,793,895000,4
2,3,1462,1000000,5
1,1,778,850000,3
1,1,1040,1227000,4
3,3,1737,1500000,6
1.5,4,1575,1637500,6
1,3,1395,1215000,7
1,2,1027,981000,5
3,3,1720,1388000,5
1.5,2,1764,1800000,6
5,4,3423,3295000,8
4,5,3000,4100000,10
1.5,2,1160,1225000,6
2,3,1670,2200000,6
2,3,1856,2800000,6
3,4,2670,3300000,8
2,3,1047,1205000,4
1.5,2,936,830000,4
1,2,1050,775000,4
2,2,1011,1310000,4
2,2,1412,1810000,5
1,0,791,540000,3
1,2,665,975000,4
2,3,1865,1680000,5
2,2,1600,1800000,4
2,2,1129,1125000,6
1,2,1162,950000,5
1,2,1181,1008000,6
2,3,1194,1250000,6
2.5,4,3345,2350000,10
2,3,1054,1200000,5
1.5,3,1526,1024000,6
3,2,1274,1400000,7
1,1,832,778000,4
1,1,670,799000,3
1,1,1085,1140000,4
2,3,1476,1400000,5
1,1,745,325000,3
3,2,1553,1250000,6
2.5,3,1490,1510000,9
2,2,1261,1540000,6
3,4,3220,1550000,11
3,3,1509,1650000,6
3.5,3,1844,1900000,9
1,2,1375,575000,5
1,2,1350,920000,5
1,3,1800,960000,6
1,2,1125,1075000,5
1,2,1214,1150000,5
1,2,1455,1787500,7
1,0,496,435000,2
2,4,2250,2600000,6
1,2,832,777000,5
2,2,1240,950000,6
3.5,3,2225,1111000,7
3,4,2075,1188000,8
1,1,581,825000,3
3,4,1970,1075000,9
2,3,1431,1300000,6
1,2,956,725000,4
1,2,837,850000,4
2.5,2,1255,1410000,5
2,2,915,991000,5
1,2,1040,1100000,5
2.5,3,1493,1398000,7
2,3,1660,1510000,6
2.5,3,2900,1613000,10
1,2,875,690000,4
2,3,2270,2200000,7
3.5,4,3675,6800000,10
1.5,2,1147,1100000,5
2,2,1050,1050000,5
2,2,2131,1635000,5
1,3,1025,1100000,6
1,2,821,670000,5
2,4,2916,1650000,10
1,4,1536,880000,8
2,2,1324,1325000,6
2,2,1800,1400000,7
2,3,1770,1200000,8
2.5,4,2565,2500000,9
1,1,691,845000,4
2.5,3,1427,1120000,6
2,3,1480,1510000,6
1.5,2,1200,1105000,5
1,2,1150,1045000,6
2,3,1450,1200000,6
2.5,3,1730,2500000,6
1,2,1175,595000,5
2.5,3,1897,1208000,7
3,4,2050,1350000,8
3,4,3325,3250000,9
2,2,2024,2250000,9
2,4,2460,3800000,10
1,1,690,347500,3
1,2,1173,1225000,5
1,3,1400,1050000,6
1,2,1009,950000,5
5.5,6,5420,8001000,14
1,2,1340,1270000,6
2,3,1570,1300000,5
1,0,594,466000,2
1,0,453,640000,2
3,5,2318,1850000,6
1,1,1070,1250000,5
4,5,3528,3500000,10
1,3,1350,1010000,6
1,2,1371,1110000,5
2,3,2385,1500000,10
1.25,2,1415,1168000,5
2,3,2400,1300000,7
1.5,4,1382,1020000,7
2,2,1714,2100000,5
3,4,1626,700000,7
1,1,936,1175000,4
3,3,2570,1775000,9
3,4,2758,2325000,5
1,2,1400,1468000,5
3,4,2205,1495000,11
2,2,950,1060000,4
1,2,985,675000,5
1,3,1068,679000,4
2,4,1500,1525000,7
2,2,1096,840000,5
1,2,1047,980000,5
1,2,1070,1300800,6
1,2,650,1188000,10
2,2,1498,2000000,5
2,3,1394,1250500,6
2,2,1754,1575000,5
2,3,2200,2651000,6
3,3,1880,2327500,7
1.5,3,1228,810000,5
3.5,3,2050,1320000,6
2,3,1516,1380000,6
1,2,1049,1175000,4
1,2,975,1250000,5
1,1,556,612000,2
2,2,1116,1300000,4
1,1,1502,1400000,4
2,2,1230,1458000,5
2,2,1006,1250000,4
1,2,875,1150000,5
2,2,1460,1510000,6
3,3,1940,2850000,6
1,1,628,746000,3
2,3,1514,1475000,5
2,3,1336,1150000,6
3,3,1295,1140000,6
2,2,1171,2300000,4
1,2,860,620000,4
1,2,938,820000,4
1,1,962,900000,3
2,2,1067,920000,5
1,2,1319,920000,5
1.5,2,1400,1010000,6
2,3,2110,1148000,8
1,4,1275,1150000,6
2,3,1400,1200800,5
2,3,1487,1240000,6
3,4,1900,1300000,7
1,2,1237,1300000,5
1.5,3,1764,1375000,6
2,3,1718,1450000,6
3,6,3350,1475000,11
2,3,1770,1600000,6
3.5,4,2536,1875000,7
2,2,2203,2100000,2
1,3,1875,2180000,7
2.5,4,2100,2200000,7
3.5,4,2370,2265000,11
3,4,2707,3750000,10
3.5,4,3801,5500000,8
1,3,1200,788000,6
1,1,775,825000,4
3,4,2716,1050000,7
1,2,1125,1090000,5
2,2,1075,1105000,4
1,3,1852,1150000,7
2,3,1446,1265000,5
3,3,3024,1895000,11
2,2,1460,2380000,6
1,1,745,540000,4
1,1,555,554000,3
2,2,950,619000,4
1,2,800,622500,5
1,1,616,725000,3
2,3,1375,765000,7
2,3,1318,775000,7
2,2,1300,800000,6
1,2,963,900000,4
1,3,1625,915000,6
1,3,1485,925000,6
1,1,830,985000,5
1,2,1150,1150000,5
2,2,1103,1220000,4
1,1,781,1230000,5
2,3,1398,1300000,5
2.5,3,2191,1395000,6
2,2,1393,1530000,6
2,2,1131,1500000,5
4,4,2606,1767500,7
3,3,2062,1825000,8
3,4,2220,2000000,7
3,4,2127,2825000,7
4,4,3100,4200000,9
4.5,5,4800,6500000,9
1,1,669,581000,3
2,4,1210,690000,6
1,1,539,695000,2
2,3,1151,775000,6
1,1,779,797000,4
1,3,1100,805000,6
1,1,811,845000,3
2,2,928,875000,5
1,3,1200,911000,6
1,1,1990,935000,3
1,2,1300,1000000,6
3,3,1977,1035000,11
2,2,1,1231000,4
1,2,1348,1410000,6
2.5,2,1284,1461000,5
5.5,5,5972,9000000,9
1,1,713,1029000,3
2,2,1033,1074000,5
2,3,1173,1150000,6
2,5,2228,1875000,10
1,0,1320,400000,5
1,2,1145,1000000,6
1.5,2,1952,1550000,5
8,8,6317,2700000,20
1,2,1250,1475000,5
3,5,4567,3500000,23
4,5,2913,1100000,11
2,3,2561,1900000,9
2.5,3,2777,1975000,10
2,2,1252,1575000,4
2,3,1735,902000,6
3,3,1850,915000,6
2,3,1299,920000,5
1,2,1159,1050000,4
2.5,2,1150,1495000,5
1,3,1280,1495000,6
1,2,975,1050000,4
1,2,1520,1629000,5
1,2,800,855000,4
1,2,1250,1520000,6
2.5,4,3189,2350000,7
1,1,862,695000,3
2,3,1153,1150000,7
2,3,1184,1800000,5
1,2,863,745000,4
2,2,1131,1059300,4
1,2,815,815000,4
1,1,900,1050000,4
1,2,833,826000,5
2,2,1025,975000,6
2,3,1,1200000,6
2,3,1780,1675000,7
3.5,4,1740,2075000,6
2,4,2234,925000,9
2,3,2594,2410000,9
2,2,1084,1320000,5
2,2,1328,1600500,5
2,3,1107,554000,6
2,3,1980,1510000,7
1,3,1332,940000,6
2,3,1401,1170000,4
4,5,2600,1300000,6
3,3,1992,1560000,10
5.5,5,1510,6995000,7
3.25,4,2473,950000,9
2.5,2,1180,1050000,4
1,1,713,875000,3
1,1,824,925000,4
1,1,706,890000,5
1,3,1200,1250000,6
2,2,1120,1565000,4
2.5,4,3400,1850000,9
2,2,1562,2200000,6
1,3,1300,1000000,6
2,3,1615,1138000,7
3.5,3,2900,3600000,10
1,1,4480,1095000,8
3.5,4,3221,1805000,9
2.5,4,1655,780000,7
2,2,1175,840000,4
2,3,2075,1615150,9
2,2,1474,800000,5
2,1,1829,1200000,5
2,2,1653,1650000,5
2,2,1315,1350000,3
1,2,750,789000,6
1,2,951,980000,5
1,2,1281,1200000,5
2,7,2300,1600000,11
1,2,1449,1050000,5
2,3,1075,1066000,5
1.5,2,1555,1590000,5
2,3,1703,1388000,6
1,1,597,888000,3
2,1,1404,975000,3
1,2,1065,1260000,2
1,2,1958,625000,4
2.5,3,1600,1710000,7
3,4,1941,1540000,9
1,2,1190,1210000,5
1,2,1500,1325000,5
2,2,2635,4500000,6
4,6,3000,1075000,12
1,1,998,875000,4
2,3,1448,1400000,6
1,1,710,992000,3
2,2,1302,1400000,5
2,2,1230,1650000,5
1.5,3,1625,1900000,6
2,2,1769,2455000,5
2,2,1698,2500000,6
2,3,1457,1800000,4
1,1,983,1112000,3
1,1,1020,625000,5
1,1,975,701000,4
2,3,1650,850000,8
4,4,3184,4350000,9
2,4,2300,1538000,6
1,2,1140,1061000,5
1,2,1108,1198000,5
1,2,1550,1314000,6
1,2,800,900000,4
1,2,2036,2100000,9
2,4,1636,735000,5
2,3,2700,2010000,7
1,1,756,815000,3
2,2,1688,1085000,6
1,3,1600,1130000,7
1,3,1450,745000,5
2,4,1665,838000,7
1.5,3,1870,900234,9
2,4,1295,2000000,6
2,4,2500,2882000,6
3,5,1798,1250000,9
3,3,2590,1610000,8
1,2,800,888000,4
1,3,2630,670000,6
3.5,3,2780,1690000,7
3,5,2100,1750000,5
1,1,660,750000,3
1,1,477,640000,3
1.5,3,1770,1550000,8
2,2,1570,620000,8
2,5,1722,1200000,8
1,1,605,690000,4
2,2,1232,700000,5
2,4,1560,756000,8
1,1,745,342000,4
1,1,515,483000,3
2,2,965,1175000,5
3,3,2190,3000000,6
3,3,1585,2000000,6
2,3,1625,941000,5
2,3,1735,1328000,7
1.5,3,2202,2450000,7
4,4,2748,1450000,10
1,4,1775,703500,6
2,3,1572,1400000,6
3,3,1609,1685000,8
2,2,988,645000,4
2,2,1180,1825000,4
2,2,1440,1155000,5
1.5,3,1550,2400000,5
1,2,1444,935000,5
3,4,2460,1300000,7
3,5,1970,1090000,8
1,1,682,625000,3
1,2,1045,930000,4
2,2,1099,1348000,4
2,2,1442,1350000,4
2,3,1545,2285000,6
1.5,3,1833,1300000,6
2,4,2692,1580000,10
1.5,1,1086,782000,5
2,2,1300,815000,4
1,1,1001,940000,4
2,2,1298,1750000,7
2,2,1500,2500000,5
2,3,1053,1400000,5
2,3,1172,638000,6
1,2,1300,751000,5
2,4,1934,779000,8
1,2,767,995000,5
2,2,1000,388500,4
1,2,1125,1068000,5
3,2,1560,1200000,8
2,3,2000,1487500,7
2.5,4,1630,1055000,9
2.5,3,2333,1800000,6
2,4,2200,2700000,7
3.5,4,2879,3400000,9
2,4,1600,800000,8
